Team brjFEj: 1939652216 points, rank 1
Team SIkNisKMKSiKrug: 2093319267 points, rank 31
Team JnluqQvMagSRTmcNtAh: 1182754788 points, rank 123
Team TTFoWykPnVojxzeVXr: 644307256 points, rank 191
Team engMWK: 1093736956 points, rank 142
Team XqCGNLK: 1890637951 points, rank 53
Team IQhmD: 2426332778 points, rank 15
Team peGNXdLMuK: 1060397774 points, rank 152
Team BGlohlYFfswPGzrKN: 3009262396 points, rank 7
Team YqCBFARgmnQDWB: 1386180080 points, rank 108
Team ppzAcA: 717879271 points, rank 208
Team JKPaYwYpilEDNg: 352584721 points, rank 254
Team ieyDRNZmczjcNSTZGxcP: 3318745475 points, rank 3
Team tObKoRvxCBZA: 3058306594 points, rank 5
Team dcwaZcJryjFVUEL: 1624730956 points, rank 84
Team eAbnOxDIjnfGtRjjM: 532414089 points, rank 241
Team ppzAcA: 717879271 points, rank 224
Team GLIcRcWFoaKCVpwDbBBM: 565089339 points, rank 257
Team GkTpHNI: 258062534 points, rank 312
Team QrFlkXJwWssrOPiecMoB: 1180051731 points, rank 171
Team rgoEQYgWrDyr: 2359976850 points, rank 20
Team CBLwQsnTzrKWBtlaSMp: 755705653 points, rank 248
Team rIkMTkWPDVerSRaP: 1455186871 points, rank 126
Team DAaRNkpsCJQ: 1611266917 points, rank 109
Team DZHneilQkiLAu: 1421902767 points, rank 138
Team LqKHXERBtFvRyFaVbE: 1493329146 points, rank 124
Team eWedboEtQSvCybVzd: 2046565857 points, rank 49
Team ShlOYBIsBQeLQmLxmNU: 1863105303 points, rank 76
Team DZHneilQkiLAu: 1421902767 points, rank 141
Team ygebtfcPXA: 1036855446 points, rank 221
Team xbbHnt: 210001786 points, rank 357
Team dvUfWvA: 957516319 points, rank 237
Team gsTvtcEtyvTERkt: 798623022 points, rank 269
Team QVLNOcK: 1170545377 points, rank 197
Team HdYKCoec is ELIMINATED
Team TEecJg: 890347153 points, rank 256
Team UyBoSM is ELIMINATED
Team aRrTaQcKXsDdaruJtvv: 1721162669 points, rank 109
Team BDILsqDfzNXnB: 1454807701 points, rank 147
Team JiZLwpWgrt: 1145009529 points, rank 210
Team dFVwWbMGq: 195352772 points, rank 385
Team sHqeKWxvPml: 2024291849 points, rank 58
Team BtdmQGmIXS: 1693383456 points, rank 117
Team ppzAcA: 717879271 points, rank 296
Team ooqJsnmpFwmIspwKRo: 581817193 points, rank 318
Team brjFEj: 1232437397 points, rank 194
Team vDfqACepJtzLJ is ELIMINATED
Team sICuKysHZaPpOqOaUXSC: 1932027109 points, rank 77
Team zqVirASnT: 1937932822 points, rank 76
Team sICuKysHZaPpOqOaUXSC: 1932027109 points, rank 77
Team eZjlTKilNC: 1907847441 points, rank 81
Team dDLwwXaCppruJwaqeYaJ: 1248452960 points, rank 200
Team zAMtkP: 1048308576 points, rank 249
Team EKmJHwedgb: 1192266051 points, rank 217
Team kjGBuMFD: 1146982767 points, rank 235
Team gsTvtcEtyvTERkt: 798623022 points, rank 322
Team PvSNplzsMLftPTQm: 188788369 points, rank 430
Team hdTJnuezEPEVQtyi: 1610574285 points, rank 145
Team YChGAHZrMCyxv: 369242405 points, rank 404
Team StelEPX: 1211862422 points, rank 233
Team rvkjoAzaLPSqrRntLpvn: 1258928023 points, rank 221
Team blWXbGqdeNl is ELIMINATED
Team ylCfGNRqQZdRXxdvqUcV: 1753126887 points, rank 132
Team oqJfYnv: 9403349 points, rank 520
Team pIrYKULZwGVzxUkW: 2129919310 points, rank 53
Team lZBXTC: 2089722636 points, rank 61
Team rmHYYxlbBG: 907208420 points, rank 333
Team jOUxdYBPxmrmw: 1538390596 points, rank 188
Team qWJJQPPPJbkQi: 1972493726 points, rank 84
Team scDaaMmfxkKDEuFWz: 1476459407 points, rank 203
Team XdVXmZWQ: 2021580673 points, rank 78
Team bkjxRQuCmszTTfHv: 512551324 points, rank 452
Team KGcHTNppKSBx: 912707213 points, rank 353
Team hdJxwpVP: 464872015 points, rank 473
Team jjPUXvZp is ELIMINATED
Team UyBoSM is ELIMINATED
Team dwjnhShr: 153359036 points, rank 545
Team oVYqxlIZBbgqulk: 4984372 points, rank 599
Team PIQGjjndPKHlRUhuZjOk: 2083686945 points, rank 73
Team KNIDDOQz: 160905925 points, rank 577
Team CYwbnnnXMSa: 1465829820 points, rank 231
Team jBhvNBvKMt: 1140632234 points, rank 326
Team CrQYUUVospoHEKW: 413558193 points, rank 522
Team PWGnwLR: 1330215736 points, rank 280
Team SIkNisKMKSiKrug: 2093319267 points, rank 71
Team XqhYlbJ: 1608540396 points, rank 197
Team wALdU: 2267377628 points, rank 49
Team LmNGfT: 1978998760 points, rank 95
Team aYgQqmO: 1230851725 points, rank 309
Team cmLIAaOJaZrrvyRfPZ: 1642276524 points, rank 184
Team TTFoWykPnVojxzeVXr: 644307256 points, rank 483
Team PMSBdhIhOtsVRSniFG: 1635540122 points, rank 188
Team wRberlDiwLSJdeD: 1913880041 points, rank 118
Team GLIcRcWFoaKCVpwDbBBM is ELIMINATED
Team OYJcQmowSjf: 1602515183 points, rank 210
Team aCTodWFcM: 1588452360 points, rank 218
Team xEbSbUpvKDTX: 2541018320 points, rank 28
Team yqeETi: 1941898765 points, rank 110
Team PAuKNoZLsTEX: 785865917 points, rank 465
Team lZBXTC: 2089722636 points, rank 78
Team jxVEJBKgRZBEMjj: 2288741514 points, rank 47
Team YcBsdv: 340737282 points, rank 598
Team tjgGUIJabiPDFth: 1713308379 points, rank 184
Team bbXTVKyejc: 1054496264 points, rank 388
Team ACUtmCocCLumATqeuyS: 1345147831 points, rank 303
Team NiGmYFkTDK: 793253330 points, rank 476
Team vIaviUVZklC: 1852765606 points, rank 146
Team AiTuYWzCxBJzoaQbaPP: 45102438 points, rank 710
Team kslzLCPaV: 1205195757 points, rank 353
Team yAbYmnZbKeqDfV: 2313623088 points, rank 45
Team vYOvsyaQEOnekIFLHkN: 950192318 points, rank 443
Team GqwCRdefctpV: 189552262 points, rank 693
Team QKmqpAlwWkwbyxuV: 1011300139 points, rank 434
Team IoIGsHvBgQVFAKjv: 1194129903 points, rank 365
Team udfSx: 460441584 points, rank 622
Team cuYritB: 741348142 points, rank 536
Team DVaworbHOgOcETdd: 2587980586 points, rank 26
Team pIjaYUVjdw: 1079007900 points, rank 414
Team wxfuDTKG: 18217821 points, rank 774
Team NCnOrmpNlHg is ELIMINATED
Team CpXCbuBOyfkkwOz: 1402782966 points, rank 317
Team edWxxGfHJbebNhbd: 1882736121 points, rank 147
Team WYZPXrXLly: 1871184480 points, rank 154
Team CJLijRARscMPaE: 1327016332 points, rank 339
Team kMTMikllg: 969489765 points, rank 475
Team MedShOQ: 583422210 points, rank 616
Team OIOoGiQIBIMWhrvUlL: 809363661 points, rank 541
Team WYZPXrXLly: 1871184480 points, rank 157
Team lZBXTC: 1447568454 points, rank 306
Team zKvBZFbicumbJRydshK: 2089469249 points, rank 92
Team kIWSRttGfmFkT: 1774323899 points, rank 192
Team EdbxnugE: 1730132145 points, rank 213
Team ASjACULurCkBQ: 733287561 points, rank 597
Team SIkNisKMKSiKrug: 2093319267 points, rank 93
Team aMcNlx: 1459049126 points, rank 315
Team LyMspkrrVpltmptKkqtS is ELIMINATED
Team yPABirkNwmCUIx: 305583505 points, rank 773
Team JjyaCrhwUBvCoqNKhfBc: 2831094340 points, rank 23
Team zzOmOFtTXlfADA: 1202242716 points, rank 423
Team boKtG: 1080005811 points, rank 477
Team lYPYWLxrHyhcY: 808274447 points, rank 586
Team EailypSI: 1323765506 points, rank 383
Team YChGAHZrMCyxv: 369242405 points, rank 774
Team TdIfwAEVyhjG: 1577942595 points, rank 293
Team Vzxgp: 115164942 points, rank 866
Team zKvBZFbicumbJRydshK: 2089469249 points, rank 100
Team TWXOy: 402155093 points, rank 767
Team KKqqXbcRJxFTDIHpn: 2449297726 points, rank 48
Team ZsANdpAsQHJlPHQE: 1135106771 points, rank 473
Team WXvaKbmRvQVcd is ELIMINATED
Team cpkrDRkHXPxUthdkE: 2204251626 points, rank 72
Team GsilHyMQyukf: 1508422078 points, rank 317
Team wDEWKWVnjysfqjymdet: 3014785294 points, rank 15
Team WlVLPiiaF: 1080202415 points, rank 508
Team yABVJnVne: 339503021 points, rank 832
Team uQBqsK: 2097732364 points, rank 99
Team NlgdTmRwzfQ: 394706293 points, rank 822
Team DUZDmzqfKPLNJnT: 1435388705 points, rank 368
Team eGGaPuK: 91141901 points, rank 958
Team MdlHAHMMJowihV: 1957733022 points, rank 156
Team TTFoWykPnVojxzeVXr: 644307256 points, rank 724
Team KrBGhyaHHPDMFPmbU: 69474900 points, rank 976
Team gMYhinhYVQckBwana: 1841201669 points, rank 208
Team fgUjWzAHRpryJL: 2143226679 points, rank 84
Team llMOxWEvWdrFoEaWyqS: 587375048 points, rank 759
Team CXjpa: 84710976 points, rank 979
Team PWGnwLR: 1330215736 points, rank 422
Team eAbnOxDIjnfGtRjjM: 532414089 points, rank 789
Team pZxbFMfLcvbxVTZB: 1619330389 points, rank 319
Team hVGgg: 293725564 points, rank 928
Team IGyPk: 1731750205 points, rank 270
Team olMjvsEumbR: 1431709491 points, rank 411
Team lxfxPMGMgXmXItdpzIVR: 304884197 points, rank 952
Team NSJDnbiUVAyaJUfke: 709062864 points, rank 761
Team qjpSxmImoizfiZnhAK: 2078867244 points, rank 120
Team EFVfEEM: 1142677271 points, rank 552
Team QsmjVCkmAp: 993514207 points, rank 628
Team ygpvARYmnMQ: 750187411 points, rank 756
Team MaElAGNfBYxGzr is ELIMINATED
Team JMRzJawgRUMzAxvqpkgV: 1134186964 points, rank 568
Team ORTtZ: 775499318 points, rank 748
Team dFVwWbMGq is ELIMINATED
Team GqwCRdefctpV: 189552262 points, rank 1038
Team mGcUB is ELIMINATED
Team ZDEzIhPVumXxzSV: 48622994 points, rank 1103
Team VVsElIDV: 500390791 points, rank 887
Team XbUqVsnNxVLaOrJhK: 1417224505 points, rank 444
Team ZehjLALAjuWhFpD: 1520619716 points, rank 389
Team iOkoBmiwUPBLVstyyKB: 1948789478 points, rank 180
Team LTPBRAxrKISpunkA: 1043809767 points, rank 633
Team PHWkJuAPJPjG: 1211648875 points, rank 545
Team cuYritB: 848499575 points, rank 735
Team oXstxmNYFDMLfmv: 484794447 points, rank 917
Team OrcqAKybNp: 1216232087 points, rank 551
Team AVJhBPmLebnMFDj: 919862667 points, rank 698
Team vSBKdS: 1907489891 points, rank 214
Team lFokjgekke: 477611923 points, rank 943
Team jFpNCKlwpJ: 1048069857 points, rank 653
Team GnlbSVMbiJyI is ELIMINATED
Team GuawztmOmNDWospkbnPN: 1135643487 points, rank 617
Team fnECpgmaomlKkZHl: 649096949 points, rank 875
Team izaHV is ELIMINATED
Team ejpWRAeWBNIUJFi is ELIMINATED
Team MTVWVzJbbhHtLXMKURG: 754263831 points, rank 842
Team boJXnWOxxPfB is ELIMINATED
Team jBhvNBvKMt: 1140632234 points, rank 618
Team CZdAIpoxmqNgwkIKaN: 415599599 points, rank 1019
Team AiTuYWzCxBJzoaQbaPP: 45102438 points, rank 1219
Team HdYKCoec is ELIMINATED
Team WajlNQoUKcSUx: 1082285456 points, rank 659
Team TuAxXCSFZkqudCEt: 276469997 points, rank 1098
Team DNnhWEnoPVjvoyX: 2526563588 points, rank 52
Team LYNAyxiXlNk: 2085535820 points, rank 132
Team OVKecCUrbVbZduLBwst: 843834632 points, rank 812
Team AVJhBPmLebnMFDj: 919862667 points, rank 759
Team ciAZhcwP: 2551049952 points, rank 49
Team DzifDoowRLyaK: 1939411310 points, rank 202
Team KYymhm: 633274442 points, rank 923
Team CBLwQsnTzrKWBtlaSMp: 1315121585 points, rank 545
Team CZdAIpoxmqNgwkIKaN: 415599599 points, rank 1056
Team qAGGurEg: 192264387 points, rank 1178
Team aNwglvUzUBGhorPGm: 1284675556 points, rank 562
Team YJtbRKtwOmCdwZtPUNg: 665342279 points, rank 928
Team YMjVBRMqeQcbcIj: 672391032 points, rank 927
Team jfpQyrfjz: 2073020794 points, rank 144
Team oKMswlWtHgSkASz: 1885828575 points, rank 238
Team XtzQelwwUbbUKfWsmAbW: 2770172222 points, rank 32
Team dqDpWFyQcPZZyKkxCAV: 1067607114 points, rank 695
Team AVJhBPmLebnMFDj: 919862667 points, rank 786
Team HJMSbOaOcmGTkUURwh: 1188110529 points, rank 626
Team mGvMylhEdXpNjv: 638272960 points, rank 955
Team fRbekQmwHmEBBKnru: 1342685891 points, rank 547
Team weImEJaHyS: 1036094151 points, rank 726
Team buZNLqxMjguJT: 1859462220 points, rank 254
Team meJobhVQZEhVUDwX: 1148610663 points, rank 655
Team ZnyFA: 1811234282 points, rank 291
Team AgpVpJPXsVHzvn: 1218567327 points, rank 619
Team RRTJh: 239816842 points, rank 1199
Team peGNXdLMuK: 2744462490 points, rank 34
Team HLxvtFn is ELIMINATED
Team qjpSxmImoizfiZnhAK: 2078867244 points, rank 140
Team yABVJnVne: 339503021 points, rank 1148
Team mhzCFj: 1375220202 points, rank 546
Team IjVZBekn: 178211654 points, rank 1256
Team uiQbhqBGjURdVlAEi is ELIMINATED
Team cTNzqTPPuvzxKye: 203624646 points, rank 1263
Team eaFiUnEHHudOy: 720146537 points, rank 978
Team CWnIdGMm: 1140131763 points, rank 707
Team mgZCps: 1657554888 points, rank 409
Team svlyMTbthfVIN: 1636255952 points, rank 420
Team WnxbdlONySwim: 562694327 points, rank 1085
Team syCZYxRRHSS is ELIMINATED
Team lIMef: 9435587 points, rank 1408
Team zTuiZMduptl: 1932303339 points, rank 236
Team ngaiOMR: 894134142 points, rank 886
Team mxsYFtfRssaxXgOCWsa: 848646379 points, rank 924
Team XHSyQw: 292525763 points, rank 1258
Team oWESAnyg: 1062097701 points, rank 771
Team UItvbfWNVDKTZqAPfPIm: 1350647861 points, rank 610
Team iuuhmVyTUIkqrAP: 920217905 points, rank 895
Team pIjaYUVjdw: 1079007900 points, rank 783
Team tJOGPFNAwsceCahuadEB: 125969924 points, rank 1389
Team lFokjgekke: 477611923 points, rank 1197
Team hAIiShyWKnauVz is ELIMINATED
Team PNtxmjYnPMrUQQVDRNK: 296254288 points, rank 1316
Team LScQXZEYhDMiGzhYHbe: 1729694993 points, rank 383
Team KeHQXkfFb: 40838091 points, rank 1490
Team uyHXbe: 2566983260 points, rank 55
Team NTaccgHG is ELIMINATED
Team bNSxDLiKR: 345475725 points, rank 1309
Team uwGwUAS is ELIMINATED
Team GBAOCWhRSGob: 882517524 points, rank 961
Team ZscqokRsTDznPtXHUj: 1363879897 points, rank 632
Team jWujq: 49214863 points, rank 1499
Team eGhDnGQolByzz: 812346855 points, rank 1010
Team sHqeKWxvPml: 1243041029 points, rank 702
Team aFPqyxQZbEvhlWBUwz: 576842386 points, rank 1169
Team ooqJsnmpFwmIspwKRo: 581817193 points, rank 1178
Team XTpyiYFiJsCZrLvTgfQE: 1505397253 points, rank 547
Team aRrTaQcKXsDdaruJtvv: 851334844 points, rank 1002
Team bJVdf: 1849186634 points, rank 313
Team YIYIVzE: 779483433 points, rank 1062
Team HlCzKzPLoLuIueqhkbw: 525795775 points, rank 1233
Team vGoNojhRfvEVO: 1240416195 points, rank 714
Team jWDhojqHKmTx: 977441299 points, rank 916
Team eleMxqhFQEHRrQEFj: 524442386 points, rank 1236
Team XMZKmIQEqiPl: 100531046 points, rank 1510
Team nPFYDDKMuFaciJO: 1364298566 points, rank 642
Team iuuhmVyTUIkqrAP: 920217905 points, rank 966
Team mKrwArDKPbhGC: 895736216 points, rank 990
Team nNATdethoYWE: 75448767 points, rank 1539
Team cDljNSlnzAAlb: 1540818882 points, rank 534
Team CDYIKuLRCBdXoYXWYNcD: 866868450 points, rank 1019
Team eUkGyF: 1147099463 points, rank 801
Team ljVBnNlAcDlsBB: 980951091 points, rank 942
Team hTbdyrCAjvIN: 1197067807 points, rank 775
Team llMOxWEvWdrFoEaWyqS: 587375048 points, rank 1241
Team TWroI: 73913326 points, rank 1597
Team NEBUlhP: 1391492034 points, rank 664
Team HCWvSuUkMSR: 529005222 points, rank 1295
Team MZIAlFrMVBDxCTzkNKK: 636791194 points, rank 1219
Team oinyy: 1800833313 points, rank 368
Team ISXWLn: 1512264607 points, rank 577
Team YBlTjTDtPmRDt: 2225729758 points, rank 119
Team NJMgBYbElbxnza: 1767982339 points, rank 384
Team RysBoOdAOxdvXYWhW: 1177341871 points, rank 809
Team CmlZdZzZ: 463835131 points, rank 1361
Team lnOmNYQVjVdBDseDBgs: 328650201 points, rank 1433
Team SZVThubxyBVycWpAxRMM: 1688691404 points, rank 449
Team meJobhVQZEhVUDwX: 1148610663 points, rank 839
Team mzKFgtoCrFufxpJIi: 2593043908 points, rank 60
Team VjdteWnUtCrdgjoTcwYQ: 927239561 points, rank 1032
Team ASjACULurCkBQ: 733287561 points, rank 1182
Team MmcouiQAlZzLCM: 968221367 points, rank 1010
Team Ubfypt: 1241429934 points, rank 779
Team KsNUQTjzpetS: 1235197100 points, rank 785
Team xEbSbUpvKDTX: 2541018320 points, rank 70
Team HZOltciP is ELIMINATED
Team TTFoWykPnVojxzeVXr: 644307256 points, rank 1258
Team EerWfObtxmPtzL: 814187850 points, rank 1140
Team urYMPgi: 1111412436 points, rank 895
Team hywuGFVWunCKprVcPJO: 2145599989 points, rank 137
Team ZgeotVOLOC: 441816363 points, rank 1411
Team QGkcYhCbbQhCGKWTyaD: 1870808987 points, rank 329
Team EfRHYzFSQnmOgSWbLUlg: 985237443 points, rank 1018
Team OvzEGxakbjOAPzdPd: 1451211778 points, rank 658
Team tWUZFpEOVXIstOPsFWd is ELIMINATED
Team ofwPrI: 1850636326 points, rank 349
Team rhhlyUyOPeroWIBWjmXM: 661697369 points, rank 1270
Team yAbYmnZbKeqDfV: 2313623088 points, rank 106
Team VbxiMNcEWzOOwxA: 1947671891 points, rank 273
Team jkqoDHAitXiA: 35226990 points, rank 1753
Team BnpJKxpnO is ELIMINATED
Team YfEGZKggB: 141872223 points, rank 1698
Team VrpIJWQqceoUD: 865130428 points, rank 1162
Team xHSlRYsMiOYusO: 865923036 points, rank 1162
Team kytEvPmbmMIgtck: 1976502408 points, rank 254
Team yTLDijqP: 1535782798 points, rank 613
Team LwWDpdul is ELIMINATED
Team bGioyn: 1227606706 points, rank 849
Team OPojHQAsKbmQ: 1966287134 points, rank 270
Team pOAKv: 362745674 points, rank 1539
Team cpkrDRkHXPxUthdkE: 2204251626 points, rank 134
Team VbxiMNcEWzOOwxA: 1947671891 points, rank 283
Team kMwlvoz: 1950208828 points, rank 280
Team fjpuSpXh: 2039705533 points, rank 213
Team rmHYYxlbBG: 907208420 points, rank 1144
Team nzvsXbMBSKSOnv: 2306435090 points, rank 114
Team BGlohlYFfswPGzrKN: 3009262396 points, rank 24
Team BtdmQGmIXS: 1693383456 points, rank 492
Team dJlxRexWVCcRfI: 1537467280 points, rank 623
Team mSxebqCtrDBdbs: 716687985 points, rank 1325
Team TIIlsL is ELIMINATED
Team pfUVnKJUBQ: 1149822792 points, rank 940
Team hywuGFVWunCKprVcPJO: 2145599989 points, rank 148
Team WnjynSOcrqUWlufNIbNH: 192081955 points, rank 1746
Team WLPlMcbTxF: 610575987 points, rank 1430
Team TBYCe: 682952845 points, rank 1385
Team yMHdskEPBimnrOW: 1032696216 points, rank 1069
Team aBHQnCEnOywWKaeWep: 1175660468 points, rank 940
Team UyBoSM is ELIMINATED
Team PvSNplzsMLftPTQm: 92725585 points, rank 1853
Team BYxvgBCp: 1427017646 points, rank 736
Team DLlEnq: 247135630 points, rank 1741
Team MpXWmKOQZx: 187601657 points, rank 1801
Team yPcHNn: 1852659637 points, rank 387
Team uohhPIxgaLfWsWI: 1839229416 points, rank 404
Team mnpDW: 1706721738 points, rank 503
Team peGNXdLMuK: 2744462490 points, rank 52
Team PpWERueXUsUMQhsJiXq: 772381625 points, rank 1354
Team NIgSYLrWxLcLOydz: 226266253 points, rank 1786
Team cbLcjG: 203887118 points, rank 1813
Team VsknZnKOvGtRYgc: 236557698 points, rank 1789
Team PeGYttqFciXNJkvoYJQW: 983954011 points, rank 1162
Team vAZUBYTI: 865963691 points, rank 1275
Team MktTpnnuN: 2110533358 points, rank 175
Team cbLcjG: 203887118 points, rank 1834
Team BhgfvMbMiWzZLAOIKibD: 242853147 points, rank 1802
Team wDEWKWVnjysfqjymdet: 3014785294 points, rank 23
Team dPzoh: 1731547182 points, rank 501
Team JfbFXGJ: 371966352 points, rank 1710
Team lJetnOnFDCy: 299964933 points, rank 1764
Team icWvttPGYrxLAQsCZgDh: 1410924108 points, rank 799
Team hdJxwpVP is ELIMINATED
Team tGCmWysXWlzFIkMoOQ: 2684020003 points, rank 65
Team oKMswlWtHgSkASz: 2335390740 points, rank 114
Team zVBeJxPR: 3224752042 points, rank 14
Team CGhXJw: 1851827690 points, rank 407
Team WcFQTZrnsessmgOBYmF: 335736900 points, rank 1745
Team OYJcQmowSjf: 1602515183 points, rank 630
Team blWXbGqdeNl is ELIMINATED
Team qRFPCdlDrWf is ELIMINATED
Team VmvmaHL: 229236695 points, rank 1855
Team irbyxMgjNfsBWpvJ: 259256141 points, rank 1844
Team CbDEgVGJxuZ is ELIMINATED
Team PCKHjeDlixx: 1291860982 points, rank 936
Team cpkrDRkHXPxUthdkE: 2204251626 points, rank 149
Team XMDxuKLqVlS: 1641433354 points, rank 603
Team DiREVFCVu: 555035345 points, rank 1637
Team ohcNy: 1866660289 points, rank 403
Team cQSSOhZpgahlTmX is ELIMINATED
Team apwuSwkr: 132641903 points, rank 1984
Team fHElZRdJjVSuxIq: 338689750 points, rank 1809
Team ppzAcA: 719452772 points, rank 1498
Team OErLsgxczB: 647947221 points, rank 1560
Team GkTpHNI: 1417553 points, rank 2112
Team aFwqnW: 617313751 points, rank 1594
Team xmJuMRZOqES is ELIMINATED
Team WfmpA: 520629482 points, rank 1692
Team WapSfCBlP: 1907760533 points, rank 375
Team eweRinKaiFVrpjmJMT: 895836348 points, rank 1338
Team VMlqDTITPxkydiwryl: 1201548294 points, rank 1039
Team GsgsjoCEBCb: 1903096844 points, rank 384
Team AzxnF: 365172171 points, rank 1809
Team LuREmEjTJdmCzvI: 1282464190 points, rank 970
Team AsaBjXbovLBhDVAuG: 1257487083 points, rank 1000
Team bwnNeZzhmtSv: 108001122 points, rank 2055
Team NSJDnbiUVAyaJUfke: 709062864 points, rank 1535
Team pwtluPkSPCTI: 1968308117 points, rank 315
Team rtdIgJcCiLhIgLOrg: 778817870 points, rank 1478
Team OvzEGxakbjOAPzdPd: 1451211778 points, rank 807
Team xhtsDrE: 2066930246 points, rank 233
Team GztMkyub: 1749602503 points, rank 519
Team qFPQZ: 244206708 points, rank 1955
Team owSxVInUTUjJQfOpt: 975739987 points, rank 1280
Team qhJlPFFQxbfHMm: 1941779094 points, rank 348
Team sueGEKNpbjSFlPixGOUi: 562835108 points, rank 1707
Team HhXwDgNCBppjPQqVgQ: 188352893 points, rank 2042
Team irbyxMgjNfsBWpvJ: 259256141 points, rank 1979
Team GXOWlXwYiQiFStDP: 1823626946 points, rank 471
Team QaiQuxN: 1957015388 points, rank 342
Team nVTPXUyr: 653994486 points, rank 1631
Team DaImVNfeauTTGVHh: 723400177 points, rank 1573
Team DweJvDVxQoYCRQRFScya: 527745464 points, rank 1776
Team MeCOf: 317374034 points, rank 1943
Team tGCmWysXWlzFIkMoOQ: 2684020003 points, rank 72
Team EHdRJYAdW is ELIMINATED
Team fCMhIuaSxe: 293644162 points, rank 1972
Team uwGwUAS is ELIMINATED
Team mlakfpYCTYuHLAJ: 1434711288 points, rank 861
Team zutxeTelGNnPM: 730016403 points, rank 1590
Team MOatFWcEpz: 1595070420 points, rank 703
Team LMkFkktQjwFfnc: 1715253684 points, rank 580
Team etoPvMmBjHgIeOaQRtt: 1362283811 points, rank 952
Team olMjvsEumbR: 1431709491 points, rank 871
Team SAHjT: 1777002248 points, rank 527
Team UNzSSvxunTg: 279758980 points, rank 2026
Team YHSOvsN: 1510668584 points, rank 796
Team vIqcTcaFcDynBt: 1770939356 points, rank 534
Team qbLAYnjNSYGjEGsvoIl: 1424746664 points, rank 898
Team lSgjA: 863039093 points, rank 1484
